id;title;persons;tutorial;mængde;ingredients
1;Kylling og broccoli i ostesovs;4;1. Steg kyllingefileterne i smørret på en pande til de er gennemstegte, og skær dem derefter i tern. 2. I en gryde opvarmes Alfredosaucen. Tilsæt herefter broccolibuketterne ved medium / høj varme. 3. Lad sovsen simre ved lav varme til broccolien er gennemvarm (ca. 5 min.). 4. Tilsæt kyllingestykkerne. 5. Kog fettuccine efter ansvisning på pakken og server med Alfredo sauce ovenpå. Drys evt. med parmesan.;1 spsk# 650 g# 1 glas# 340g# 340g;smør# kyllingefilet# alfredo pasta sovs# broccolibuketter# fettuccine pasta
2;spaghetti med kødsovs;4;1. Det hakkede oksekød steges i en gryde til det er ved at være brunt, det hakkede løg og champignoner tilsættes og der røres rundt i gryden indtil løgene og champingonerne er gyldne (2-3 minutter). 2. De hakkede tomater tilsættes og retten koges op 3. Inden servering tilsættes krydderierne og hvidløget. ;500 g# 1# 1 pk# 2 fed# 2# lidt# lidt# lidt# lidt;oksekød# løg# champignon# hvidløg# dåse hakkede tomater# oregano# basilikum# salt# peber
3;Lasagne;4;Forvarm ovnen til 225 grader. Hak løget og guleroden fint. Varm olien op i en gryde. Svits løg, gulerod og paprika heri. Tilsæt det hakkede oksekød og brun det godt. Tilsæt hakkede tomater, mælk, salt og peber og kog sammen i ca 10 min. Imens smøres et ovnfast fad med margarine. Hæld halvdelen af mornaysaucen i bunden af fadet. Fyld skiftevis fadet med kødsauce og lasagneplader. Slut med kødsauce. Hæld den sidste halvdel mornaysauce over. ”bag” lasagnen i ca 45 minutter midt i ovnen. Hvis lasagnen begynder at blive brun på toppen lægges et stykke sølvpapir over. Efter bagning skal lasagnen stå og trække ca 10 min inden servering.;400 g# 1# 1# 3# 2 dl# 5 dl# 9# 2# lidt# 1 tsk# lidt;oksekød# løg# gulerødder# dåse hakkede tomater# mælk# mornaysauce# lasagneplader# olie# margarine# paprika# salt# peber
4;Vegetar lasagne;4;Spinatblanding 1. Hvis du bruger frisk spinat dampes det i lidt vand og blandes derefter med hytteost og lidt salt. Hvis du bruger frossen spinat optøes den forsigtigt i en kasserolle med lidt vand. Overskydende væske presses fra spinaten. Blandes med hytteost og lidt salt. Bolognese sauce 2. Grøntsagerne hakkes fint og sauteres i smør eller olie i den angivne rækkefølge under ingredienser. 3. Kom tomaterne i og tilsæt derefter, citronsaft, tomatpuré, grøntsagsbouillon, timian, revet muskat. Tilsæt også laurbærblade som koger med hele og fjernes til sidst. 4. Lad saucen småkoge uden låg på i cirka 5 minutter til det er en tyk sauce. 5. Lasagnen samles nu i et ovnfast fad efter nedenstående rækkefølge: 1: Béchamelsauce 2: Lasagneplader 3: Bolognese sauce 4: Revet ost 5: Lasagneplader 6: Spinat 7: Bechamelsauce 8: Lasagneplader 9: Bolognese sauce 10:Lasagneplader 11:Béchamelsauce 12:Resterende revet ost;12# 150 g# 1 portion# 250 g# 200 g# 2# 1# 250 g# 1/2# 500 g# 2 tsk# 1# 1 terning# lidt# lidt# lidt# lidt;lasagne plader# revet ost# bechamelsauce# spinat# hytteost# gulerødder# løg# champignoner# squash# tomater# citronsaft# dåse tomatpure# grøntsagsbouillon# timian# laurbærblade# muskat# salt
5;Chili con carne;4;1. Hak løget. Flæk chilierne, skrab kernerne ud, og hak chilierne fint. 2. Varm olien i en stor gryde, og svits løg og kød et par minutter. Tilsæt chili, presset hvidløg og krydderier, og vend det hele godt sammen. Steg i ca. 10 min. 3. Kom tomatpure, bouillon og hakkede tomater i gryden, og lad simre ved svag varme i ca. 10 min. Rør undervejs. 4. Skyl og afdryp bønnerne. Tilsæt bønner, og lad simre i yderligere ca. 10 min. Tag gryden af varmen, og smag chilien til med mørk chokolade, salt og peber. 5. Skræl gulerødderne, og skær i strimler. Hak persillen, og drys over. Server chilien med græsk yoghurt, sprøde gulerødder og tortillachips.;1# 2# 1# lidt# 500g# 2 fed# 1 tsk# 1 tsk# 140 g# 1# 1# 1# 25 g# lidt# lidt;løg# chilier# jomfruolivenolie# hakket oksekød# hvidløg# spidskommen# koriander# tomatpure# oksebouillon# dåse hakkede tomater# røde kidneybønner# mørk chokolade# salt# peber# græsk yoghurt# gulerødder
6;Risengrød;4;Bring vand og ris i kog i en tykbundet gryde. Kog risene ved jævn varme og under omrøring i ca. 2 min. Tilsæt mælk og bring blandingen i kog. Kog grøden ved svag varme, stadig under omrøring, i ca. 10 min. Læg låg på og kog i ca. 25 min. Rør ofte i grøden. Hvis grøden virker tynd så kog den i yderligere ca. 5 min. - uden låg. Tilsæt salt og smag til.;6 dl# 360 g# 2 liter# 1/2 tsk# 8 spsk# 4 tsk# 100 g;vand# grødris# sødmælk# salt# sukker# kanel# smør
7;Kyllingebryst med pasta og svampe;4;1. Sæt vand over til pasta og kog efter pakkens anvisning. 2. Skær kyllingebryst i skiver. 3. Steg svampene i lidt olie til de tager farve og tilsæt kylling. 4. Krydr med salt og peber og hæld piskefløde ved. 5. Lad retten simre i 5 minutter. 6. Hæld den færdige pasta sammen med kylling, svampe og fløde. 7. Anret i en dyb tallerken med et par blade basilikum.;2# 600 g# 1/2 liter# 200 g# lidt;kyllingebryster# pasta penne# piskefløde# champignon# olivenolie
8;Stegt kylling i bacon med salat caprese;4;1. Pensl kyllingebrystet med pesto og vikl bacon omkring 2. Steg dem ca. 5 minutter på hver side - til de er gennemstegt.# 3. Skær tomaterne i skiver og anret dem på tallerkenen med mozzarella og basilikum. Krydr med salt og peber og lidt god olivenolie. 4. Server det hele med et stykke godt brød.;4# 3 pakker# 1 glas# 8# 2 poser# 1 potte# lidt;kyllingebryster# bacon i skriver# grøn pesto# tomater# moxxarellakugler# basilikum# olivenolie
9;pandekager;2;Knæk to æg i en skål. Hæld 3 dl mælk ned til æggene. Pisk æg og mælk godt sammen i hånden med et piskeris. Tilsæt hvedemel. Pisk til alle klumper er væk. Tilsæt vaniljesukker, salt og resten af mælken, pisk og sæt dejen i køleskabet 30 min. Smelt smør på en varm pande, vent til boblerne er små, hæld ca. 1 dl dej på. Vip panden, så dejen fordeles over hele bunden. Pandekagen skal steges ved jævn varme. Løft den lidt i siden med en paletkniv og se, om den er blevet gylden på undersiden. Vend pandekagen med en paletkniv, når den er gylden på undersiden, og steg videre på den anden side til pandekagen er færdig.;2# 6 dl# 3 dl# 1 knivspids# lidt;æg# mælk# hvedemel# salt# smør
10;Sprøde fiskepinde med sesam;4;Fiskepinde: Skær fisken i 2-3 cm tykke skiver. Bland melet med salt og peber på en tallerken, bland rasp og sesamfrø i en skål og pisk æggene sammen i en anden skål. Dyb fiskestykkerne først i mel, så i æg og til slut i rasp/sesamfrø og læg dem forsigtigt på en tallerken. Varm olie på en pande over middel/høj varme. Steg fiskepindene et par stykker ad gangen til de er sprøde og gyldne. Det er typisk ca. 2 min på hver side. Lad dem evt. dryppe af på fedtsugende papir. Lav dippen, mens du venter under stegningen. Rør skyr sammen med mayonnaise og smag til med mangochutney, limesaft og evt. chilisauce. Server fiskepindene lune sammen med mangodippen.;500 g# 1 dl# 1,5 dl, dl# 2# lidt# lidt;hvid fisk# fuldkornsmel# rasp# sesamfrø# æg# salt og peber# olie
